Id,A,B,C,D,E,F,G,H,I,Air Quality
1,6.3,9.2,5.2,29.8,18.9,59.1,1.72,17.9,319,2
2,6.0,9.7,2.3,28.3,30.8,75.6,1.64,12.2,611,2
3,5.2,12.6,26.7,23.1,24.4,74.7,1.63,33.8,619,2
4,11.1,5.3,6.1,27.1,13.5,39.1,1.15,6.3,551,3
5,12.7,5.6,6.9,26.5,21.9,70.7,1.01,16.0,303,3
6,3.1,17.9,14.6,39.4,42.9,96.6,1.82,35.5,674,0
7,4.6,12.7,1.7,41.7,31.1,82.5,1.8,15.8,735,1
8,6.3,13.6,5.0,31.0,24.2,59.6,1.38,16.8,443,2
9,4.9,15.3,11.1,33.2,32.0,80.5,1.69,24.4,535,1
10,13.0,5.9,1.3,26.3,18.3,65.7,0.85,5.5,529,3
11,5.9,19.3,1.6,32.5,21.6,51.2,1.53,10.5,519,2
12,11.0,4.5,28.9,28.6,23.2,53.7,1.02,34.0,508,3
13,7.9,11.8,22.4,32.0,27.5,78.9,1.48,29.9,444,2
14,14.4,3.7,4.5,22.9,18.4,75.4,0.96,10.4,359,3
15,6.1,7.1,9.0,34.7,28.5,59.3,1.52,15.7,437,2
16,8.0,9.4,3.5,27.6,30.7,44.1,0.97,14.4,338,2
17,14.4,1.7,3.8,27.6,9.1,77.5,1.04,10.9,520,3
18,10.0,4.5,0.4,25.6,25.3,58.3,0.98,-0.2,536,3
19,17.9,2.3,0.5,26.2,22.9,49.9,0.94,2.0,581,3
20,11.5,4.8,16.4,22.6,17.6,62.1,0.93,21.3,324,3
21,3.5,6.3,10.1,37.6,32.2,72.2,1.85,16.6,637,1
22,10.2,2.9,3.4,29.6,20.6,65.6,1.03,9.3,452,3
23,10.8,6.0,7.1,21.8,14.5,79.6,0.91,16.8,455,3
24,7.4,6.8,83.3,27.7,25.3,86.1,1.71,93.5,594,2
25,11.1,3.0,30.2,27.5,15.3,78.9,0.98,34.1,472,3
26,13.2,6.1,18.5,28.0,24.9,72.2,1.32,25.0,480,3
27,10.2,3.7,2.3,22.2,23.5,50.0,0.96,8.4,547,3
28,4.9,30.7,55.1,33.3,40.5,70.1,2.12,72.7,612,0
29,2.5,29.2,3.1,37.5,39.5,83.7,2.61,2.2,898,0
30,4.3,23.3,48.3,30.9,31.4,94.4,1.75,67.1,779,1
31,8.5,13.0,68.9,39.3,43.7,78.9,1.7,85.2,570,1
32,8.1,15.8,8.7,27.8,29.7,62.8,1.4,13.2,604,2
33,12.9,5.8,3.1,18.1,19.7,70.1,1.18,8.1,273,3
34,10.2,3.0,2.2,22.4,19.6,69.3,0.92,8.4,339,3
35,13.2,8.2,70.7,25.3,22.4,47.4,1.59,84.8,587,2
